bioguideId,name,terms
A000377,"Armstrong, Kelly","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
G000591,"Guest, Michael","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
S001212,"Stauber, Pete","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
M001206,"Morelle, Joseph D.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2018}]}"
T000478,"Tenney, Claudia","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2017}, {'chamber': 'House of Representatives', 'startYear': 2021}]}"
B001298,"Bacon, Don","{'item': [{'chamber': 'House of Representatives', 'startYear': 2017}]}"
B001296,"Boyle, Brendan F.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2015}]}"
Z000018,"Zinke, Ryan K.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2015}, {'chamber': 'House of Representatives', 'startYear': 2023}]}"
B001281,"Beatty, Joyce","{'item': [{'chamber': 'House of Representatives', 'startYear': 2013}]}"
W000815,"Wenstrup, Brad R.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2013}]}"
H001066,"Horsford, Steven","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2013}, {'chamber': 'House of Representatives', 'startYear': 2019}]}"
K000382,"Kuster, Ann M.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2013}]}"
S001195,"Smith, Jason","{'item': [{'chamber': 'House of Representatives', 'startYear': 2013}]}"
J000292,"Johnson, Bill","{'item': [{'chamber': 'House of Representatives', 'startYear': 2011}]}"
H001038,"Higgins, Brian","{'item': [{'chamber': 'House of Representatives', 'startYear': 2005}]}"
T000463,"Turner, Michael R.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2003}]}"
F000475,"Finstad, Brad","{'item': [{'chamber': 'House of Representatives', 'startYear': 2022}]}"
C001125,"Carter, Troy","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
L000595,"Letlow, Julia","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
S000929,"Spartz, Victoria","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
S000168,"Salazar, Maria Elvira","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
M001215,"Miller-Meeks, Mariannette","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
M001211,"Miller, Mary E.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
M001136,"McClain, Lisa C.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
L000266,"LaTurner, Jake","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
H001091,"Hinson, Ashley","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
G000596,"Greene, Marjorie Taylor","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
G000593,"Gimenez, Carlos A.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
F000470,"Fischbach, Michelle","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
C001116,"Clyde, Andrew S.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
G000592,"Golden, Jared F.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
T000481,"Tlaib, Rashida","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
S001215,"Stevens, Haley M.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
S001208,"Slotkin, Elissa","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
T000483,"Trone, David J.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
P000617,"Pressley, Ayanna","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
D000629,"Davids, Sharice","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
P000615,"Pence, Greg","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
B001307,"Baird, James R.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
U000040,"Underwood, Lauren","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
F000469,"Fulcher, Russ","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
M001208,"McBath, Lucy","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
E000298,"Estes, Ron","{'item': [{'chamber': 'House of Representatives', 'startYear': 2017}]}"
B001299,"Banks, Jim","{'item': [{'chamber': 'House of Representatives', 'startYear': 2017}]}"
K000391,"Krishnamoorthi, Raja","{'item': [{'chamber': 'House of Representatives', 'startYear': 2017}]}"
F000465,"Ferguson, A. Drew, IV","{'item': [{'chamber': 'House of Representatives', 'startYear': 2017}]}"
E000294,"Emmer, Tom","{'item': [{'chamber': 'House of Representatives', 'startYear': 2015}]}"
D000624,"Dingell, Debbie","{'item': [{'chamber': 'House of Representatives', 'startYear': 2015}]}"
M001194,"Moolenaar, John R.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2015}]}"
M001196,"Moulton, Seth","{'item': [{'chamber': 'House of Representatives', 'startYear': 2015}]}"
B001295,"Bost, Mike","{'item': [{'chamber': 'House of Representatives', 'startYear': 2015}]}"
A000372,"Allen, Rick W.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2015}]}"
C001101,"Clark, Katherine M.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2013}]}"
H001052,"Harris, Andy","{'item': [{'chamber': 'House of Representatives', 'startYear': 2011}]}"
S001189,"Scott, Austin","{'item': [{'chamber': 'House of Representatives', 'startYear': 2011}]}"
Q000023,"Quigley, Mike","{'item': [{'chamber': 'House of Representatives', 'startYear': 2009}]}"
P000597,"Pingree, Chellie","{'item': [{'chamber': 'House of Representatives', 'startYear': 2009}]}"
K000385,"Kelly, Robin L.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2013}]}"
W000797,"Wasserman Schultz, Debbie","{'item': [{'chamber': 'House of Representatives', 'startYear': 2005}]}"
C001127,"Cherfilus-McCormick, Sheila","{'item': [{'chamber': 'House of Representatives', 'startYear': 2022}]}"
S001135,"Steel, Michelle","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
J000305,"Jacobs, Sara","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
F000472,"Franklin, C. Scott","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
D000032,"Donalds, Byron","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
C001039,"Cammack, Kat","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
W000823,"Waltz, Michael","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
H001081,"Hayes, Jahana","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
C001121,"Crow, Jason","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
N000191,"Neguse, Joe","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
P000618,"Porter, Katie","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
G000585,"Gomez, Jimmy","{'item': [{'chamber': 'House of Representatives', 'startYear': 2017}]}"
D000628,"Dunn, Neal P.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2017}]}"
G000578,"Gaetz, Matt","{'item': [{'chamber': 'House of Representatives', 'startYear': 2017}]}"
B001300,"Barragan, Nanette Diaz","{'item': [{'chamber': 'House of Representatives', 'startYear': 2017}]}"
L000582,"Lieu, Ted","{'item': [{'chamber': 'House of Representatives', 'startYear': 2015}]}"
A000371,"Aguilar, Pete","{'item': [{'chamber': 'House of Representatives', 'startYear': 2015}]}"
R000600,"Radewagen, Aumua Amata Coleman","{'item': [{'chamber': 'House of Representatives', 'startYear': 2015}]}"
V000130,"Vargas, Juan","{'item': [{'chamber': 'House of Representatives', 'startYear': 2013}]}"
T000472,"Takano, Mark","{'item': [{'chamber': 'House of Representatives', 'startYear': 2013}]}"
C001097,"Cárdenas, Tony","{'item': [{'chamber': 'House of Representatives', 'startYear': 2013}]}"
W000808,"Wilson, Frederica S.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2011}]}"
B001257,"Bilirakis, Gus M.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2007}]}"
S000344,"Sherman, Brad","{'item': [{'chamber': 'House of Representatives', 'startYear': 1997}]}"
S001156,"Sánchez, Linda T.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2003}]}"
I000056,"Issa, Darrell E.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2001}, {'chamber': 'House of Representatives', 'startYear': 2021}]}"
S001220,"Strong, Dale W.","{'item': [{'chamber': 'House of Representatives', 'startYear': 2023}]}"
H001090,"Harder, Josh","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
B000620,"Bonker, Don","{'item': [{'chamber': 'House of Representatives', 'endYear': 1989, 'startYear': 1975}]}"
C001084,"Cicilline, David N.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2023, 'startYear': 2011}]}"
S000094,"Sawyer, Tom","{'item': [{'chamber': 'House of Representatives', 'endYear': 2003, 'startYear': 1987}]}"
B000420,"Berry, Marion","{'item': [{'chamber': 'House of Representatives', 'endYear': 2011, 'startYear': 1997}]}"
S000851,"Stenholm, Charles W.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2005, 'startYear': 1979}]}"
M001226,"Menendez, Robert","{'item': [{'chamber': 'House of Representatives', 'startYear': 2023}]}"
W000800,"Welch, Peter","{'item': [{'chamber': 'House of Representatives', 'endYear': 2023, 'startYear': 2007}, {'chamber': 'Senate', 'startYear': 2023}]}"
F000479,"Fetterman, John","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}"
S001227,"Schmitt, Eric","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}"
V000137,"Vance, J. D.","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}"
L000571,"Lummis, Cynthia M.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2021}]}"
T000278,"Tuberville, Tommy","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}"
S000394,"Shuster, Bud","{'item': [{'chamber': 'House of Representatives', 'endYear': 2001, 'startYear': 1973}]}"
W000790,"Warnock, Raphael G.","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}"
B001319,"Britt, Katie Boyd","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}"
H001086,"Harshbarger, Diana","{'item': [{'chamber': 'House of Representatives', 'startYear': 2021}]}"
L000593,"Levin, Mike","{'item': [{'chamber': 'House of Representatives', 'startYear': 2019}]}"
O000174,"Ossoff, Jon","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}"
C001098,"Cruz, Ted","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}"
S000062,"Sarasin, Ronald A.","{'item': [{'chamber': 'House of Representatives', 'endYear': 1979, 'startYear': 1973}]}"
B001305,"Budd, Ted","{'item': [{'chamber': 'House of Representatives', 'endYear': 2023, 'startYear': 2017}, {'chamber': 'Senate', 'startYear': 2023}]}"
W000817,"Warren, Elizabeth","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}"
W000802,"Whitehouse, Sheldon","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}"
Y000064,"Young, Todd","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2011}, {'chamber': 'Senate', 'startYear': 2017}]}"
W000779,"Wyden, Ron","{'item': [{'chamber': 'House of Representatives', 'endYear': 1996, 'startYear': 1981}, {'chamber': 'Senate', 'startYear': 1996}]}"
W000437,"Wicker, Roger F.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1995}, {'chamber': 'Senate', 'startYear': 2007}]}"
T000476,"Tillis, Thomas","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}"
W000805,"Warner, Mark R.","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}"
T000250,"Thune, John","{'item': [{'chamber': 'House of Representatives', 'endYear': 2003, 'startYear': 1997}, {'chamber': 'Senate', 'startYear': 2005}]}"
V000128,"Van Hollen, Chris","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2003}, {'chamber': 'Senate', 'startYear': 2017}]}"
S001203,"Smith, Tina","{'item': [{'chamber': 'Senate', 'startYear': 2018}]}"
S001198,"Sullivan, Dan","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}"
S001191,"Sinema, Kyrsten","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2019}]}"
T000464,"Tester, Jon","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}"
S001184,"Scott, Tim","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 2011}, {'chamber': 'Senate', 'startYear': 2013}]}"
S001181,"Shaheen, Jeanne","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}"
S000770,"Stabenow, Debbie","{'item': [{'chamber': 'House of Representatives', 'endYear': 2001, 'startYear': 1997}, {'chamber': 'Senate', 'startYear': 2001}]}"
S001217,"Scott, Rick","{'item': [{'chamber': 'Senate', 'startYear': 2019}]}"
S001194,"Schatz, Brian","{'item': [{'chamber': 'Senate', 'startYear': 2012}]}"
R000595,"Rubio, Marco","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}"
S000148,"Schumer, Charles E.","{'item': [{'chamber': 'House of Representatives', 'endYear': 1999, 'startYear': 1981}, {'chamber': 'Senate', 'startYear': 1999}]}"
S000033,"Sanders, Bernard","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1991}, {'chamber': 'Senate', 'startYear': 2007}]}"
R000618,"Ricketts, Pete","{'item': [{'chamber': 'Senate', 'startYear': 2023}]}"
R000615,"Romney, Mitt","{'item': [{'chamber': 'Senate', 'startYear': 2019}]}"
R000608,"Rosen, Jacky","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2017}, {'chamber': 'Senate', 'startYear': 2019}]}"
R000605,"Rounds, Mike","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}"
P000595,"Peters, Gary C.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2015}]}"
R000584,"Risch, James E.","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}"
R000122,"Reed, Jack","{'item': [{'chamber': 'House of Representatives', 'endYear': 1997, 'startYear': 1991}, {'chamber': 'Senate', 'startYear': 1997}]}"
P000145,"Padilla, Alex","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}"
P000603,"Paul, Rand","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}"
M001169,"Murphy, Christopher","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 2007}, {'chamber': 'Senate', 'startYear': 2013}]}"
M001111,"Murray, Patty","{'item': [{'chamber': 'Senate', 'startYear': 1993}]}"
M001153,"Murkowski, Lisa","{'item': [{'chamber': 'Senate', 'startYear': 2003}]}"
M001198,"Marshall, Roger","{'item': [{'chamber': 'House of Representatives', 'endYear': 2021, 'startYear': 2017}, {'chamber': 'Senate', 'startYear': 2021}]}"
M001176,"Merkley, Jeff","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}"
M000934,"Moran, Jerry","{'item': [{'chamber': 'House of Representatives', 'endYear': 2011, 'startYear': 1997}, {'chamber': 'Senate', 'startYear': 2011}]}"
M000639,"Menendez, Robert","{'item': [{'chamber': 'House of Representatives', 'endYear': 2006, 'startYear': 1993}, {'chamber': 'Senate', 'startYear': 2006}]}"
M000133,"Markey, Edward J.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 1977}, {'chamber': 'Senate', 'startYear': 2013}]}"
M000355,"McConnell, Mitch","{'item': [{'chamber': 'Senate', 'startYear': 1985}]}"
K000393,"Kennedy, John","{'item': [{'chamber': 'Senate', 'startYear': 2017}]}"
K000383,"King, Angus S., Jr.","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}"
K000367,"Klobuchar, Amy","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}"
L000577,"Lee, Mike","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}"
M001183,"Manchin, Joe, III","{'item': [{'chamber': 'Senate', 'startYear': 2010}]}"
L000575,"Lankford, James","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2011}, {'chamber': 'Senate', 'startYear': 2015}]}"
L000570,"Lujan, Ben Ray","{'item': [{'chamber': 'House of Representatives', 'endYear': 2021, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2021}]}"
H000273,"Hickenlooper, John W.","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}"
K000377,"Kelly, Mark","{'item': [{'chamber': 'Senate', 'startYear': 2020}]}"
H001079,"Hyde-Smith, Cindy","{'item': [{'chamber': 'Senate', 'startYear': 2018}]}"
K000384,"Kaine, Tim","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}"
J000293,"Johnson, Ron","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}"
H001061,"Hoeven, John","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}"
H001042,"Hirono, Mazie K.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 2007}, {'chamber': 'Senate', 'startYear': 2013}]}"
H000601,"Hagerty, Bill","{'item': [{'chamber': 'Senate', 'startYear': 2021}]}"
H001089,"Hawley, Josh","{'item': [{'chamber': 'Senate', 'startYear': 2019}]}"
H001076,"Hassan, Margaret Wood","{'item': [{'chamber': 'Senate', 'startYear': 2017}]}"
G000555,"Gillibrand, Kirsten E.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2009, 'startYear': 2007}, {'chamber': 'Senate', 'startYear': 2009}]}"
H001046,"Heinrich, Martin","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2013}]}"
G000386,"Grassley, Chuck","{'item': [{'chamber': 'House of Representatives', 'endYear': 1981, 'startYear': 1975}, {'chamber': 'Senate', 'startYear': 1981}]}"
G000359,"Graham, Lindsey","{'item': [{'chamber': 'House of Representatives', 'endYear': 2003, 'startYear': 1995}, {'chamber': 'Senate', 'startYear': 2003}]}"
E000295,"Ernst, Joni","{'item': [{'chamber': 'Senate', 'startYear': 2015}]}"
F000463,"Fischer, Deb","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}"
D000622,"Duckworth, Tammy","{'item': [{'chamber': 'House of Representatives', 'endYear': 2017, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2017}]}"
F000062,"Feinstein, Dianne","{'item': [{'chamber': 'Senate', 'startYear': 1992}]}"
D000563,"Durbin, Richard J.","{'item': [{'chamber': 'House of Representatives', 'endYear': 1997, 'startYear': 1983}, {'chamber': 'Senate', 'startYear': 1997}]}"
C001113,"Cortez Masto, Catherine","{'item': [{'chamber': 'Senate', 'startYear': 2017}]}"
C001096,"Cramer, Kevin","{'item': [{'chamber': 'House of Representatives', 'endYear': 2019, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2019}]}"
D000618,"Daines, Steve","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2015}]}"
C001095,"Cotton, Tom","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2013}, {'chamber': 'Senate', 'startYear': 2015}]}"
C001056,"Cornyn, John","{'item': [{'chamber': 'Senate', 'startYear': 2002}]}"
C000880,"Crapo, Mike","{'item': [{'chamber': 'House of Representatives', 'endYear': 1999, 'startYear': 1993}, {'chamber': 'Senate', 'startYear': 1999}]}"
C001070,"Casey, Robert P., Jr.","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}"
C001088,"Coons, Christopher A.","{'item': [{'chamber': 'Senate', 'startYear': 2010}]}"
C001075,"Cassidy, Bill","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2009}, {'chamber': 'Senate', 'startYear': 2015}]}"
C001035,"Collins, Susan M.","{'item': [{'chamber': 'Senate', 'startYear': 1997}]}"
C001047,"Capito, Shelley Moore","{'item': [{'chamber': 'House of Representatives', 'endYear': 2015, 'startYear': 2001}, {'chamber': 'Senate', 'startYear': 2015}]}"
C000174,"Carper, Thomas R.","{'item': [{'chamber': 'House of Representatives', 'endYear': 1993, 'startYear': 1983}, {'chamber': 'Senate', 'startYear': 2001}]}"
C000141,"Cardin, Benjamin L.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1987}, {'chamber': 'Senate', 'startYear': 2007}]}"
B001310,"Braun, Mike","{'item': [{'chamber': 'Senate', 'startYear': 2019}]}"
B001236,"Boozman, John","{'item': [{'chamber': 'House of Representatives', 'endYear': 2011, 'startYear': 2001}, {'chamber': 'Senate', 'startYear': 2011}]}"
C000127,"Cantwell, Maria","{'item': [{'chamber': 'House of Representatives', 'endYear': 1995, 'startYear': 1993}, {'chamber': 'Senate', 'startYear': 2001}]}"
B000944,"Brown, Sherrod","{'item': [{'chamber': 'House of Representatives', 'endYear': 2007, 'startYear': 1993}, {'chamber': 'Senate', 'startYear': 2007}]}"
B001288,"Booker, Cory A.","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}"
B001277,"Blumenthal, Richard","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}"
B001261,"Barrasso, John","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}"
B001267,"Bennet, Michael F.","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}"
